pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-29,93.5,1.62,5.77,"Latz, Jacob",664034,656641,field_out,hit_into_play,,,,,4,Ty France lines out to left fielder Robbie Grossman.,R,R,L,SEA,TEX,X,7,line_drive,1,0,2023,0.47,1.63,-0.32,2.65,,,664059,2,8,Bot,85.54,86.01,,,,,-6.06322767693217,-135.94403665805717,-5.897400748586108,7.178047941223973,30.90867425007595,-10.848483335273924,3.28,1.49,298,82.1,28,93.8,2198,6.6,716379,595978,663993,677649,673962,669701,543257,694497,608671,53.92,0.103,0.113,0.0,1,0,0,3,68,2,4-Seam Fastball,8,0,8,0,0,8,8,0,Strategic,Standard,152,0.0,-0.316,73.0,7.8,0.168,0.316,88.0,8,8,1.0,1.0,27,28,27,29,1,3,3,1,,1,0.99,0.47,-0.47,50.2
FF,2023-09-29,94.0,1.69,5.84,"Latz, Jacob",664034,656641,,ball,,,,,12,Ty France lines out to left fielder Robbie Grossman.,R,R,L,SEA,TEX,B,,,0,0,2023,0.54,1.6,0.17,4.02,,,664059,2,8,Bot,,,,,,,-5.178661486614567,-136.81875469549462,-2.5527074645014345,7.994739818911516,30.781099308822352,-11.695932975507702,3.26,1.45,,,,94.4,2061,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,53.95,,,,,,,,68,1,4-Seam Fastball,8,0,8,0,0,8,8,0,Strategic,Standard,154,0.0,0.03,,,,-0.03,,8,8,1.0,1.0,27,28,27,29,1,3,3,1,,1,0.98,0.54,-0.54,47.8
CH,2023-09-29,83.7,1.86,5.73,"Latz, Jacob",620443,656641,field_out,hit_into_play,,,,,14,Luis Torrens lines out to left fielder Robbie Grossman.,R,R,L,SEA,TEX,X,7,line_drive,0,2,2023,1.0,0.77,0.85,2.47,,,664059,1,8,Bot,58.19,101.04,,,,,-4.316287858507367,-121.84708442823845,-2.6347899821352856,10.814039113806524,23.56795260486546,-24.174699803866847,3.39,1.56,295,85.7,26,84.1,1719,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,54.03,0.114,0.135,0.0,1,0,0,3,67,3,Changeup,8,0,8,0,0,8,8,0,Strategic,Standard,129,0.0,-0.162,67.0,8.0,0.208,0.162,88.0,8,8,1.0,1.0,27,27,27,27,1,0,3,6,,2,2.48,1.0,-1.0,47.8
FF,2023-09-29,93.4,1.66,5.85,"Latz, Jacob",620443,656641,,foul,,,,,2,Luis Torrens lines out to left fielder Robbie Grossman.,R,R,L,SEA,TEX,S,,,0,1,2023,0.76,1.72,0.04,3.46,,,664059,1,8,Bot,,,,,,,-5.860622029155469,-135.85996081054404,-4.1831651458646935,10.690175826357686,30.222760154496857,-10.17572008337803,3.39,1.56,,,,93.6,2234,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,54.02,,,,,,,,67,2,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,147,0.0,-0.053,73.1,6.9,,0.053,,8,8,1.0,1.0,27,27,27,27,1,0,3,6,,2,0.9,0.76,-0.76,52.2
CU,2023-09-29,79.4,1.75,5.86,"Latz, Jacob",620443,656641,,swinging_strike,,,,,7,Luis Torrens lines out to left fielder Robbie Grossman.,R,R,L,SEA,TEX,S,,,0,0,2023,-0.32,-0.85,-0.55,1.57,,,664059,1,8,Bot,,,,,,,-4.433220433558209,-115.60575811476596,-1.0434406098608042,-2.0588374586927394,20.756999092858077,-39.87184211952648,3.39,1.56,,,,79.6,2629,6.3,716379,595978,663993,677649,673962,669701,543257,694497,608671,54.18,,,,,,,,67,1,Curveball,8,0,8,0,0,8,8,0,Standard,Standard,334,0.0,-0.042,47.3,,,0.042,,8,8,1.0,1.0,27,27,27,27,1,0,3,6,,2,4.45,-0.32,0.32,56.2
FF,2023-09-29,93.3,1.55,5.81,"Latz, Jacob",664059,656641,walk,ball,,,,,12,Sam Haggerty walks.,R,R,L,SEA,TEX,B,,,3,2,2023,0.66,1.57,0.31,3.89,,,,1,8,Bot,,,,,,,-4.6579339797373045,-135.87471077131676,-2.663862469839621,9.235355522558494,28.752140343425182,-12.281200214137192,3.12,1.39,,,,93.9,2044,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,53.96,,0.695903,0.7,1,0,0,,66,8,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,153,0.0,0.36,,,,-0.36,,8,8,1.0,1.0,27,29,27,29,1,0,3,1,,1,1.03,0.66,-0.66,52.4
FF,2023-09-29,94.4,1.53,5.83,"Latz, Jacob",664059,656641,,foul,,,,,1,Sam Haggerty walks.,R,R,L,SEA,TEX,S,,,3,2,2023,0.61,1.68,-0.36,2.8,,,,1,8,Bot,,,,,,,-6.308856396230154,-137.33853541154477,-5.96784579635951,9.11453788517717,29.974295835697873,-9.757234389046973,3.22,1.5,167,62.1,52,94.9,2171,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,53.97,,,,,,,,66,7,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,154,0.0,0.0,62.0,6.4,,0.0,88.0,8,8,1.0,1.0,27,29,27,29,1,0,3,1,,1,0.88,0.61,-0.61,50.8
CH,2023-09-29,85.7,1.91,5.83,"Latz, Jacob",664059,656641,,foul,,,,,14,Sam Haggerty walks.,R,R,L,SEA,TEX,S,,,3,2,2023,1.36,0.72,0.84,2.34,,,,1,8,Bot,,,,,,,-5.301500088105099,-124.7244907155888,-3.4425185670658327,15.276794379330234,25.270957474498775,-24.18114468388497,3.22,1.5,174,68.1,60,86.0,1896,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,54.02,,,,,,,,66,6,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,131,0.0,0.0,68.3,7.7,,0.0,88.0,8,8,1.0,1.0,27,29,27,29,1,0,3,1,,1,2.39,1.36,-1.36,55.9
CH,2023-09-29,84.9,1.8,5.74,"Latz, Jacob",664059,656641,,ball,,,,,14,Sam Haggerty walks.,R,R,L,SEA,TEX,B,,,2,2,2023,1.12,0.97,0.03,0.63,,,,1,8,Bot,,,,,,,-6.414842144276153,-123.30980534370472,-7.547825796994675,12.751425585610065,25.53263350053064,-20.934308266274453,3.12,1.39,,,,84.9,1845,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,54.03,,,,,,,,66,5,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,130,0.0,0.094,,,,-0.094,,8,8,1.0,1.0,27,29,27,29,1,0,3,1,,1,2.22,1.12,-1.12,47.5
FF,2023-09-29,94.7,1.67,5.9,"Latz, Jacob",664059,656641,,ball,,,,,12,Sam Haggerty walks.,R,R,L,SEA,TEX,B,,,1,2,2023,0.7,1.56,0.79,3.92,,,,1,8,Bot,,,,,,,-3.8728188418892966,-137.8497047659131,-2.9647164092503524,9.737456820872648,32.03072152054858,-11.888362830769957,3.18,1.44,,,,94.8,2268,6.5,716379,595978,663993,677649,673962,669701,543257,694497,608671,54.04,,,,,,,,66,4,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,148,0.0,0.045,,,,-0.045,,8,8,1.0,1.0,27,29,27,29,1,0,3,1,,1,0.99,0.7,-0.7,52.6
