pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-05-24,83.9,-1.28,5.27,"Moronta, Reyes",457759,606625,walk,ball,,,,,14,Justin Turner walks.,R,R,R,LAA,BOS,B,,,3,2,2023,0.85,0.13,2.32,1.38,606132,608701,,2,7,Top,,,,,,,6.689141353590762,-121.95833029799108,-2.7720822874896767,6.913343823221719,26.76004506929945,-30.533681165640285,3.38,1.56,,,,84.1,2157,6.7,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.75,,0.695903,0.7,1,0,0,,57,7,Slider,7,2,2,7,2,7,2,7,Standard,Standard,70,-0.011,0.149,,,,-0.149,,5,-5,0.969,0.031,30,38,30,39,1,3,3,1,,2,3.15,-0.85,-0.85,33.0
SL,2023-05-24,82.2,-1.5,5.2,"Moronta, Reyes",457759,606625,,blocked_ball,,,,,13,Justin Turner walks.,R,R,R,LAA,BOS,B,,,2,2,2023,0.71,-0.06,-0.32,0.18,606132,608701,,2,7,Top,,,,,,,1.3012636575017889,-119.65492125045222,-4.758524610455883,6.545356551676563,23.900958198204695,-32.03866203928927,3.38,1.64,,,,82.9,2362,6.8,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.7,,,,,,,,57,6,Slider,7,2,2,7,2,7,2,7,Standard,Standard,74,0.0,0.055,,,,-0.055,,5,-5,0.969,0.031,30,38,30,39,1,3,3,1,,2,3.44,-0.71,-0.71,33.7
SL,2023-05-24,85.2,-1.36,5.2,"Moronta, Reyes",457759,606625,,foul,,,,,14,Justin Turner walks.,R,R,R,LAA,BOS,S,,,2,2,2023,0.76,0.05,1.29,1.57,606132,608701,,2,7,Top,,,,,,,4.725791823678592,-123.87688098185023,-2.2485651096486414,6.7092913285995746,27.83072111602365,-31.36645951065676,3.28,1.51,3,57.6,-22,85.4,2255,6.7,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.78,,,,,,,,57,5,Slider,7,2,2,7,2,7,2,7,Standard,Standard,71,0.0,0.0,,,,0.0,88.0,5,-5,0.969,0.031,30,38,30,39,1,3,3,1,,2,3.12,-0.76,-0.76,35.9
SL,2023-05-24,82.3,-1.28,5.38,"Moronta, Reyes",457759,606625,,swinging_strike_blocked,,,,,14,Justin Turner walks.,R,R,R,LAA,BOS,S,,,2,1,2023,1.02,0.35,0.65,0.81,606132,608701,,2,7,Top,,,,,,,2.415116822089117,-119.7839787148052,-4.45768957328818,9.18238055732181,25.67099490266438,-28.148836812839026,3.28,1.51,,,,82.6,2317,6.7,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.78,,,,,,,,57,4,Slider,7,2,2,7,2,7,2,7,Standard,Standard,73,0.0,-0.087,,,,0.087,,5,-5,0.969,0.031,30,38,30,39,1,3,3,1,,2,3.05,-1.02,-1.02,45.0
FF,2023-05-24,95.5,-0.96,5.53,"Moronta, Reyes",457759,606625,,ball,,,,,14,Justin Turner walks.,R,R,R,LAA,BOS,B,,,1,1,2023,-0.41,1.52,1.57,0.75,,606132,608701,2,7,Top,,,,,,,7.660051636806369,-138.6039978071952,-10.46883153914776,-6.977015184060773,31.154392533906357,-10.34072075375526,3.48,1.56,,,,96.4,2318,7.0,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.54,,,,,,,,57,3,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,208,-0.005,0.025,,,,-0.025,,5,-5,0.974,0.026,30,38,30,39,1,3,3,1,,2,0.99,0.41,0.41,45.4
FF,2023-05-24,95.9,-1.11,5.45,"Moronta, Reyes",457759,606625,,ball,,,,,14,Justin Turner walks.,R,R,R,LAA,BOS,B,,,0,1,2023,-0.48,1.61,0.87,2.22,,606132,608701,2,7,Top,,,,,,,6.353426384228662,-139.34040915233328,-6.580657036348335,-7.732121288408472,33.317517218704296,-9.902391720881615,3.56,1.59,,,,96.4,2331,6.8,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.68,,,,,,,,57,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,224,0.0,0.025,,,,-0.025,,5,-5,0.974,0.026,30,38,30,39,1,3,3,1,,2,0.89,0.48,0.48,39.7
SL,2023-05-24,81.4,-1.42,5.33,"Moronta, Reyes",457759,606625,,called_strike,,,,,9,Justin Turner walks.,R,R,R,LAA,BOS,S,,,0,0,2023,1.18,0.38,0.59,1.94,,606132,608701,2,7,Top,,,,,,,2.2318653633165786,-118.57682201604342,-1.7532514079482642,10.753901120469967,22.6226352443912,-28.4604497902247,3.38,1.69,,,,81.7,2452,6.4,718034,595453,592273,650859,570482,687263,621493,545361,592669,54.09,,,,,,,,57,1,Slider,7,2,2,7,2,7,2,7,Standard,Standard,60,0.0,-0.04,,,,0.04,,5,-5,0.974,0.026,30,38,30,39,1,3,3,1,,2,3.05,-1.18,-1.18,43.5
FF,2023-05-24,95.3,-0.95,5.47,"Moronta, Reyes",608701,606625,walk,ball,,,,,14,Rob Refsnyder walks.,R,R,R,LAA,BOS,B,,,3,0,2023,-0.48,1.53,1.06,1.49,,606132,,2,7,Top,,,,,,,6.415384570727456,-138.3258059406562,-8.276352972292054,-7.679827867078159,33.37790443524282,-10.786274016032966,3.51,1.66,,,,95.8,2266,6.9,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.61,,0.695903,0.7,1,0,0,,56,4,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,195,-0.006,0.052,,,,-0.052,,5,-5,0.98,0.02,30,32,30,32,1,3,3,1,,2,1.01,0.48,0.48,41.0
SL,2023-05-24,82.7,-1.26,5.29,"Moronta, Reyes",608701,606625,,ball,,,,,14,Rob Refsnyder walks.,R,R,R,LAA,BOS,B,,,2,0,2023,1.13,0.19,1.87,2.24,,606132,,2,7,Top,,,,,,,4.9428693088657045,-120.37756580803456,-0.7564813846429268,9.78994071363181,25.94703067962068,-30.414040592924003,3.51,1.64,,,,82.4,2425,6.3,718034,595453,592273,650859,570482,687263,621493,545361,592669,54.18,,,,,,,,56,3,Slider,7,2,2,7,2,7,2,7,Standard,Standard,82,0.0,0.037,,,,-0.037,,5,-5,0.98,0.02,30,32,30,32,1,3,3,1,,2,3.17,-1.13,-1.13,39.9
FF,2023-05-24,95.7,-1.03,5.38,"Moronta, Reyes",608701,606625,,ball,,,,,14,Rob Refsnyder walks.,R,R,R,LAA,BOS,B,,,1,0,2023,-0.79,1.5,0.99,1.48,,606132,,2,7,Top,,,,,,,7.186874124566127,-139.0209163246137,-8.10134452909858,-11.880446473173906,32.73190855668534,-11.095253232987098,3.61,1.74,,,,96.6,2236,7.0,718034,595453,592273,650859,570482,687263,621493,545361,592669,53.52,,,,,,,,56,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,209,0.0,0.029,,,,-0.029,,5,-5,0.98,0.02,30,32,30,32,1,3,3,1,,2,1.01,0.79,0.79,43.3
