pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-01,91.8,-2.83,5.4,"King, Michael",672580,650633,force_out,hit_into_play,,,,,7,"Maikel Garcia grounds into a force out, shortstop Anthony Volpe to second baseman Oswald Peraza.   Matt Duffy out at 2nd.",R,R,R,KC,NYY,X,6,ground_ball,2,1,2023,-1.23,0.15,-0.28,1.63,,668472,622110,2,4,Bot,110.15,158.53,,,,,9.174322784917283,-133.43973620388624,-4.100300734341244,-16.551696900989825,25.49432193895585,-29.67821976651227,3.59,1.73,9,98.5,-10,92.9,2657,6.7,716352,669224,518934,672724,643396,683011,677592,664314,665828,53.77,0.254,0.243,0.0,1,0,0,2,34,4,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,194,-0.012,-0.306,,,0.286,0.306,98.5,4,4,0.917,0.917,28,23,28,23,3,2,5,1,,,2.53,1.23,1.23,27.4
FF,2023-10-01,94.2,-2.39,5.78,"King, Michael",672580,650633,,ball,,,,,14,"Maikel Garcia grounds into a force out, shortstop Anthony Volpe to second baseman Oswald Peraza.   Matt Duffy out at 2nd.",R,R,R,KC,NYY,B,,,1,1,2023,-0.5,1.14,1.78,0.85,,668472,622110,2,4,Bot,,,,,,,11.90362611116748,-136.58466818917466,-9.69177814542426,-8.551848960292023,25.190308203731465,-15.891912291996237,3.41,1.67,,,,94.5,2396,6.3,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.18,,,,,,,,34,3,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,207,0.0,0.025,,,,-0.025,,4,4,0.917,0.917,28,23,28,23,3,2,5,1,,,1.41,0.5,0.5,37.8
SI,2023-10-01,92.2,-2.76,5.67,"King, Michael",672580,650633,,called_strike,,,,,9,"Maikel Garcia grounds into a force out, shortstop Anthony Volpe to second baseman Oswald Peraza.   Matt Duffy out at 2nd.",R,R,R,KC,NYY,S,,,1,0,2023,-1.07,0.67,0.77,2.15,,668472,622110,2,4,Bot,,,,,,,11.211599304606592,-133.99328649396688,-4.642553427278339,-15.016391768370845,23.814424767309365,-23.228889904708556,3.44,1.7,,,,92.1,2264,5.9,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.57,,,,,,,,34,2,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,216,0.0,-0.045,,,,0.045,,4,4,0.917,0.917,28,23,28,23,3,2,5,1,,,1.98,1.07,1.07,31.6
FF,2023-10-01,93.4,-2.45,5.83,"King, Michael",672580,650633,,ball,,,,,14,"Maikel Garcia grounds into a force out, shortstop Anthony Volpe to second baseman Oswald Peraza.   Matt Duffy out at 2nd.",R,R,R,KC,NYY,B,,,0,0,2023,-0.49,1.18,1.61,1.09,,668472,622110,2,4,Bot,,,,,,,11.443164170826693,-135.3961223546957,-9.028646754743193,-8.247986515448403,25.922232674126565,-15.798128460574487,3.41,1.7,,,,93.3,2479,6.1,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.36,,,,,,,,34,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,216,0.0,0.03,,,,-0.03,,4,4,0.917,0.917,28,23,28,23,3,2,5,1,,,1.42,0.49,0.49,38.8
FF,2023-10-01,91.8,-2.68,5.64,"King, Michael",622110,650633,single,hit_into_play,,,,,4,"Matt Duffy singles on a line drive to left fielder Everson Pereira, deflected by third baseman Isiah Kiner-Falefa.   Nick Pratto to 2nd.",R,R,R,KC,NYY,X,5,line_drive,3,0,2023,-1.17,0.6,-0.51,2.3,,,668472,2,4,Bot,80.46,131.57,,,,,7.999761939184747,-133.51835468424153,-3.955534754553344,-15.67604550019712,25.570720611909262,-24.301912380694144,3.45,1.58,163,99.5,10,92.2,1592,6.3,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.18,0.751,0.705,0.9,1,1,0,4,33,4,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,189,0.005,0.196,70.4,7.2,0.879,-0.196,99.5,4,4,0.912,0.912,28,32,28,32,2,1,5,2,,,2.08,1.17,1.17,31.4
SI,2023-10-01,92.3,-2.67,5.52,"King, Michael",622110,650633,,ball,,,,,14,"Matt Duffy singles on a line drive to left fielder Everson Pereira, deflected by third baseman Isiah Kiner-Falefa.   Nick Pratto to 2nd.",R,R,R,KC,NYY,B,,,2,0,2023,-1.18,0.62,0.46,1.31,,,668472,2,4,Bot,,,,,,,10.505256663875636,-134.01261548035487,-6.31116967926641,-16.240311294009672,24.372076153832108,-23.57430792376994,3.42,1.69,,,,92.9,2248,6.4,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.11,,,,,,,,33,3,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,229,0.0,0.104,,,,-0.104,,4,4,0.912,0.912,28,32,28,32,2,1,5,2,,,2.03,1.18,1.18,29.1
FF,2023-10-01,90.6,-2.66,5.51,"King, Michael",622110,650633,,ball,,,,,12,"Matt Duffy singles on a line drive to left fielder Everson Pereira, deflected by third baseman Isiah Kiner-Falefa.   Nick Pratto to 2nd.",R,R,R,KC,NYY,B,,,1,0,2023,-1.07,0.73,0.23,3.6,,,668472,2,4,Bot,,,,,,,9.467285037219726,-131.77429959388996,-0.4643975355976468,-14.333049189955153,24.277572646965726,-23.7039350994598,3.42,1.67,,,,90.8,1856,6.2,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.34,,,,,,,,33,2,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,187,0.0,0.037,,,,-0.037,,4,4,0.912,0.912,28,32,28,32,2,1,5,2,,,2.02,1.07,1.07,29.9
SI,2023-10-01,93.5,-2.75,5.5,"King, Michael",622110,650633,,ball,,,,,14,"Matt Duffy singles on a line drive to left fielder Everson Pereira, deflected by third baseman Isiah Kiner-Falefa.   Nick Pratto to 2nd.",R,R,R,KC,NYY,B,,,0,0,2023,-1.38,0.54,0.32,1.21,,,668472,2,4,Bot,,,,,,,10.91930946532412,-135.68336949852736,-6.531047285001038,-19.30547257644843,25.87209009986563,-24.26133383690271,3.39,1.61,,,,93.8,2180,6.3,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.17,,,,,,,,33,1,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,228,0.0,0.03,,,,-0.03,,4,4,0.912,0.912,28,32,28,32,2,1,5,2,,,2.05,1.38,1.38,30.4
CH,2023-10-01,85.3,-2.67,5.51,"King, Michael",668472,650633,single,hit_into_play,,,,,9,Nick Pratto singles on a line drive to center fielder Estevan Florial.,R,L,R,KC,NYY,X,8,line_drive,1,2,2023,-1.33,0.42,0.29,1.9,,,,2,4,Bot,116.24,85.28,,,,,9.658049113039288,-124.05562323180423,-3.159938653873678,-15.563921715251452,20.614829205137504,-27.3586080323392,3.41,1.63,190,99.5,8,86.1,2003,6.4,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.07,0.649,0.589,0.9,1,1,0,4,32,6,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,241,0.004,0.427,66.5,6.0,0.708,-0.427,99.5,4,4,0.908,0.908,28,24,28,25,2,1,5,1,,,2.67,1.33,-1.33,31.1
FF,2023-10-01,94.4,-2.54,5.94,"King, Michael",668472,650633,,foul,,,,,4,Nick Pratto singles on a line drive to center fielder Estevan Florial.,R,L,R,KC,NYY,S,,,1,2,2023,-0.44,1.28,-0.62,2.64,,,,2,4,Bot,,,,,,,5.932134440871942,-137.4914882634812,-5.811610604610922,-6.733627303298698,26.159336714634172,-14.774857090371537,3.41,1.63,250,78.5,45,94.5,2266,6.0,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.52,,,,,,,,32,5,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,207,0.0,0.0,61.5,6.4,,0.0,88.0,4,4,0.908,0.908,28,24,28,25,2,1,5,1,,,1.24,0.44,-0.44,41.1
