pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2023-04-24,77.0,1.11,5.91,"Nolin, Sean",542303,543594,strikeout,swinging_strike,,,,,13,Marcell Ozuna strikes out swinging.,R,R,L,ATL,MIA,S,2,,0,2,2023,-0.94,-1.19,-0.29,1.06,645277,,,2,8,Bot,,,,,,,-1.2514599113089355,-112.12598172671878,-1.0943181696103936,-7.644739291095289,22.561655890612855,-42.14435315702099,3.5,1.74,,,,76.5,2218,6.1,718443,607732,643265,542932,516416,641658,541645,650559,660821,54.36,,0.0,0.0,1,0,0,,70,4,Curveball,11,0,11,0,0,11,11,0,Standard,Standard,320,0.0,-0.19,,,,0.19,,11,11,1.0,1.0,33,32,34,33,2,4,,2,,2,5.06,-0.94,0.94,43.9
FC,2023-04-24,85.4,1.75,5.68,"Nolin, Sean",542303,543594,,foul,,,,,13,Marcell Ozuna strikes out swinging.,R,R,L,ATL,MIA,S,,,0,2,2023,-0.4,0.67,-0.85,1.79,645277,,,2,8,Bot,,,,,,,-5.3146852992801,-124.24372516991932,-4.265922370561585,-3.1378474891563184,23.96146433519536,-24.571770923246152,3.5,1.74,198,106.8,12,85.7,2141,6.4,718443,607732,643265,542932,516416,641658,541645,650559,660821,54.07,,,,,,,,70,3,Cutter,11,0,11,0,0,11,11,0,Standard,Standard,189,0.0,0.0,,,,0.0,106.8,11,11,1.0,1.0,33,32,34,33,2,4,,2,,2,2.45,-0.4,0.4,36.0
FF,2023-04-24,89.7,1.13,5.86,"Nolin, Sean",542303,543594,,swinging_strike,,,,,12,Marcell Ozuna strikes out swinging.,R,R,L,ATL,MIA,S,,,0,1,2023,0.68,1.41,0.41,3.85,645277,,,2,8,Bot,,,,,,,-3.253439213624261,-130.578819644205,-1.9814128408218008,8.49628841106637,27.296171887964817,-15.882049010568984,3.5,1.74,,,,90.5,2205,6.7,718443,607732,643265,542932,516416,641658,541645,650559,660821,53.78,,,,,,,,70,2,4-Seam Fastball,11,0,11,0,0,11,11,0,Standard,Standard,150,0.0,-0.051,,,,0.051,,11,11,1.0,1.0,33,32,34,33,2,4,,2,,2,1.42,0.68,-0.68,44.0
FC,2023-04-24,83.7,1.87,5.76,"Nolin, Sean",542303,543594,,called_strike,,,,,2,Marcell Ozuna strikes out swinging.,R,R,L,ATL,MIA,S,,,0,0,2023,-0.49,0.6,0.15,2.95,645277,,,2,8,Bot,,,,,,,-3.018765249730164,-121.94548182082606,-1.274896349706979,-4.322380724929846,23.511286425263304,-26.162992607990436,3.5,1.72,,,,84.3,2136,6.6,718443,607732,643265,542932,516416,641658,541645,650559,660821,53.91,,,,,,,,70,1,Cutter,11,0,11,0,0,11,11,0,Standard,Standard,201,0.0,-0.036,,,,0.036,,11,11,1.0,1.0,33,32,34,33,2,4,,2,,2,2.64,-0.49,0.49,36.9
FF,2023-04-24,91.0,0.92,5.93,"Nolin, Sean",645277,543594,triple,hit_into_play,,,,,3,Ozzie Albies triples (1) on a fly ball to center fielder Bryan De La Cruz.   Matt Olson scores.    Austin Riley scores.    Sean Murphy scores.,R,R,L,ATL,MIA,X,8,fly_ball,1,2,2023,0.77,1.52,0.55,3.33,621566,663586,669221,2,8,Bot,163.39,55.08,,,,,-2.5910765105120928,-132.57063105528346,-3.9306135623756298,9.58704880227213,27.46729462812128,-13.632593415817349,3.25,1.61,368,99.3,30,91.8,2304,6.7,718443,607732,643265,542932,516416,641658,541645,650559,660821,53.84,0.449,0.826,1.6,1,1,2,6,69,4,4-Seam Fastball,8,0,8,0,0,11,11,0,Standard,Standard,154,0.0,0.977,,,1.596,-0.977,99.3,8,8,1.0,1.0,33,26,34,26,2,4,,1,,1,1.22,0.77,-0.77,45.8
FF,2023-04-24,91.6,0.94,5.87,"Nolin, Sean",645277,543594,,called_strike,,,,,8,Ozzie Albies triples (1) on a fly ball to center fielder Bryan De La Cruz.   Matt Olson scores.    Austin Riley scores.    Sean Murphy scores.,R,R,L,ATL,MIA,S,,,1,1,2023,0.9,1.35,0.19,1.79,621566,663586,669221,2,8,Bot,,,,,,,-3.850157343978253,-133.2260545390452,-7.3802930567146126,11.502389600374045,28.641525827059063,-14.758882950202771,3.3,1.54,,,,92.2,2222,6.7,718443,607732,643265,542932,516416,641658,541645,650559,660821,53.85,,,,,,,,69,3,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,150,0.0,-0.079,,,,0.079,,8,8,1.0,1.0,33,26,34,26,2,4,,1,,1,1.37,0.9,-0.9,44.5
FF,2023-04-24,89.5,0.88,5.92,"Nolin, Sean",645277,543594,,swinging_strike,,,,,5,Ozzie Albies triples (1) on a fly ball to center fielder Bryan De La Cruz.   Matt Olson scores.    Austin Riley scores.    Sean Murphy scores.,R,R,L,ATL,MIA,S,,,1,0,2023,0.87,1.35,0.15,2.47,621566,663586,669221,2,8,Bot,,,,,,,-3.683063582242261,-130.29720044904792,-5.427372451444309,10.734571862336733,26.31777917753465,-15.887865351488358,3.25,1.61,,,,90.4,2182,6.7,718443,607732,643265,542932,516416,641658,541645,650559,660821,53.75,,,,,,,,69,2,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,157,0.0,-0.048,,,,0.048,,8,8,1.0,1.0,33,26,34,26,2,4,,1,,1,1.49,0.87,-0.87,45.9
FF,2023-04-24,91.7,1.09,5.92,"Nolin, Sean",645277,543594,,ball,,,,,12,Ozzie Albies triples (1) on a fly ball to center fielder Bryan De La Cruz.   Matt Olson scores.    Austin Riley scores.    Sean Murphy scores.,R,R,L,ATL,MIA,B,,,0,0,2023,0.82,1.42,1.09,3.09,621566,663586,669221,2,8,Bot,,,,,,,-1.776407621530564,-133.47682931367564,-4.433550493025184,10.147742083868849,28.32063935888848,-14.401133829881264,3.26,1.54,,,,92.7,2203,6.9,718443,607732,643265,542932,516416,641658,541645,650559,660821,53.65,,,,,,,,69,1,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,154,0.0,0.035,,,,-0.035,,8,8,1.0,1.0,33,26,34,26,2,4,,1,,1,1.28,0.82,-0.82,43.5
CU,2023-04-24,75.7,1.15,5.91,"Nolin, Sean",592696,543594,field_out,hit_into_play,,,,,13,Eddie Rosario flies out to left fielder Avisail Garcia.,R,L,L,ATL,MIA,X,7,fly_ball,0,1,2023,-1.19,-0.86,-0.96,1.85,621566,663586,669221,1,8,Bot,77.94,120.16,,,,,-2.278975422908796,-110.26871157485576,0.1758302439593133,-9.284298189419443,20.516671154740525,-39.40678260619564,3.19,1.58,221,77.9,50,75.9,2173,6.4,718443,607732,643265,542932,516416,641658,541645,650559,660821,54.05,0.043,0.039,0.0,1,0,0,3,68,2,Curveball,8,0,8,0,0,8,8,0,Standard,Standard,313,0.0,-0.111,,,0.05,0.111,88.0,8,8,1.0,1.0,33,31,34,32,2,4,,1,,1,4.84,-1.19,-1.19,43.6
ST,2023-04-24,75.8,1.69,5.68,"Nolin, Sean",592696,543594,,foul,,,,,12,Eddie Rosario flies out to left fielder Avisail Garcia.,R,L,L,ATL,MIA,S,,,0,0,2023,-1.19,-0.21,0.51,3.6,621566,663586,669221,1,8,Bot,,,,,,,-0.3201008822579878,-110.34157348006548,3.09010910868302,-9.703446272990163,19.502346824270372,-34.64583042646078,3.19,1.58,,,,75.7,1940,6.2,718443,607732,643265,542932,516416,641658,541645,650559,660821,54.34,,,,,,,,68,1,Sweeper,8,0,8,0,0,8,8,0,Standard,Strategic,297,0.0,-0.05,,,,0.05,,8,8,1.0,1.0,33,31,34,32,2,4,,1,,1,4.17,-1.19,-1.19,32.9
