pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-05-20,89.6,-2.5,5.87,"Burdi, Nick",665019,595897,strikeout,swinging_strike,,,,,14,Kody Clemens strikes out swinging.,R,L,R,PHI,CHC,S,2,,1,2,2023,0.6,-0.32,0.47,1.02,,,656495,2,8,Bot,,,,,,,6.0817719786141,-130.3853238583967,-5.3618698734494705,5.728443642261033,25.601380715967274,-34.94379428950952,3.43,1.69,,,,90.1,2725,6.4,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.07,,0.0,0.0,1,0,0,,74,4,Slider,12,3,12,3,3,12,12,3,Standard,Standard,63,0.0,-0.206,,,,0.206,,9,9,1.0,1.0,30,27,30,27,1,4,1,3,,2,3.14,-0.6,0.6,30.6
FF,2023-05-20,100.1,-2.47,5.88,"Burdi, Nick",665019,595897,,ball,,,,,11,Kody Clemens strikes out swinging.,R,L,R,PHI,CHC,B,,,0,2,2023,-0.67,1.19,-1.51,3.92,,,656495,2,8,Bot,,,,,,,4.2039334332245595,-145.72850964840404,-2.838391094330426,-10.586525300664798,34.4109903092914,-14.785386625461989,3.36,1.62,,,,99.7,2682,6.1,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.43,,,,,,,,74,3,4-Seam Fastball,12,3,12,3,3,12,12,3,Standard,Standard,224,0.0,0.02,,,,-0.02,,9,9,1.0,1.0,30,27,30,27,1,4,1,3,,2,1.09,0.67,-0.67,29.2
SL,2023-05-20,89.5,-2.56,5.91,"Burdi, Nick",665019,595897,,foul,,,,,4,Kody Clemens strikes out swinging.,R,L,R,PHI,CHC,S,,,0,1,2023,0.44,0.09,-0.41,2.43,,,656495,2,8,Bot,,,,,,,4.347864012963678,-130.45098327171107,-2.8637599538847085,4.281850322732679,23.935330593813926,-30.763749568791564,3.43,1.69,118,73.3,19,89.7,2844,6.0,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.49,,,,,,,,74,2,Slider,12,3,12,3,3,12,12,3,Standard,Standard,63,0.0,-0.055,,,,0.055,88.0,9,9,1.0,1.0,30,27,30,27,1,4,1,3,,2,2.71,-0.44,0.44,30.3
FF,2023-05-20,97.8,-2.46,5.84,"Burdi, Nick",665019,595897,,called_strike,,,,,4,Kody Clemens strikes out swinging.,R,L,R,PHI,CHC,S,,,0,0,2023,-0.67,1.39,-0.68,2.25,,,656495,2,8,Bot,,,,,,,6.323606051847098,-142.12089683891145,-7.352989311130826,-10.606821957484115,35.42783511310704,-11.8182588702904,3.4,1.64,,,,97.4,2619,6.4,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.15,,,,,,,,74,1,4-Seam Fastball,12,3,12,3,3,12,12,3,Standard,Standard,220,0.0,-0.045,,,,0.045,,9,9,1.0,1.0,30,27,30,27,1,4,1,3,,2,1.02,0.67,-0.67,28.8
FF,2023-05-20,100.4,-2.42,5.83,"Burdi, Nick",669016,595897,strikeout,swinging_strike,,,,,11,Brandon Marsh strikes out swinging.,R,L,R,PHI,CHC,S,2,,1,2,2023,-0.59,1.5,-0.22,3.65,,,656495,1,8,Bot,,,,,,,7.4566785388218495,-145.98351602939303,-4.208093480247291,-10.230006894075297,36.15538949670393,-9.923658838572228,3.11,1.51,,,,100.0,2854,6.2,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.27,,0.0,0.0,1,0,0,,73,5,4-Seam Fastball,12,3,12,3,3,12,12,3,Standard,Standard,217,0.0,-0.183,,,,0.183,,9,9,1.0,1.0,30,25,30,26,1,4,1,1,,2,0.77,0.59,-0.59,29.1
SL,2023-05-20,89.3,-2.54,5.85,"Burdi, Nick",669016,595897,,foul,,,,,14,Brandon Marsh strikes out swinging.,R,L,R,PHI,CHC,S,,,1,2,2023,1.17,-0.09,1.08,2.25,,,656495,1,8,Bot,,,,,,,6.408308039485927,-129.99303364591583,-2.6592642095857455,11.95519549384388,27.07255619764727,-32.79501687186526,3.11,1.51,240,103.9,15,88.9,2872,6.0,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.52,,,,,,,,73,4,Slider,12,3,12,3,3,12,12,3,Standard,Standard,23,0.0,0.0,,,,0.0,103.9,9,9,1.0,1.0,30,25,30,26,1,4,1,1,,2,2.94,-1.17,1.17,31.7
FF,2023-05-20,98.9,-2.51,5.76,"Burdi, Nick",669016,595897,,foul,,,,,4,Brandon Marsh strikes out swinging.,R,L,R,PHI,CHC,S,,,1,1,2023,-0.96,1.28,-0.53,2.26,,,656495,1,8,Bot,,,,,,,7.636255761398111,-143.831266147022,-7.0927663860644605,-15.07975320080585,30.962433972167673,-12.953346021057408,3.11,1.51,,,,99.0,2602,6.2,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.3,,,,,,,,73,3,4-Seam Fastball,12,3,12,3,3,12,12,3,Standard,Standard,220,0.0,-0.055,,,,0.055,,9,9,1.0,1.0,30,25,30,26,1,4,1,1,,2,1.04,0.96,-0.96,28.0
FF,2023-05-20,97.7,-2.47,5.9,"Burdi, Nick",669016,595897,,swinging_strike,,,,,11,Brandon Marsh strikes out swinging.,R,L,R,PHI,CHC,S,,,1,0,2023,-0.85,1.41,-0.84,2.85,,,656495,1,8,Bot,,,,,,,6.3721282544813915,-142.1387010453535,-5.975280717497077,-13.02191667446402,31.75676382535063,-11.86350667375432,3.11,1.51,,,,97.8,2477,6.3,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.19,,,,,,,,73,2,4-Seam Fastball,12,3,12,3,3,12,12,3,Standard,Standard,222,0.0,-0.053,,,,0.053,,9,9,1.0,1.0,30,25,30,26,1,4,1,1,,2,0.97,0.85,-0.85,31.2
SL,2023-05-20,87.9,-2.64,5.98,"Burdi, Nick",669016,595897,,ball,,,,,11,Brandon Marsh strikes out swinging.,R,L,R,PHI,CHC,B,,,0,0,2023,0.3,-0.13,-1.14,3.18,,,656495,1,8,Bot,,,,,,,3.0272122148939378,-128.17277655977622,-0.4923970057336306,2.76342841179768,23.5773812942512,-33.73997105754464,2.97,1.41,,,,88.1,2689,6.1,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.43,,,,,,,,73,1,Slider,12,3,12,3,3,12,12,3,Standard,Standard,92,0.0,0.036,,,,-0.036,,9,9,1.0,1.0,30,25,30,26,1,4,1,1,,2,3.04,-0.3,0.3,33.8
FF,2023-05-20,97.3,-2.35,5.89,"Burdi, Nick",664761,595897,field_out,hit_into_play,,,,,4,Alec Bohm flies out to center fielder Mike Tauchman.,R,R,R,PHI,CHC,X,8,fly_ball,1,0,2023,-0.89,1.36,-0.62,2.81,,,656495,0,8,Bot,112.01,65.67,,,,,6.727078565773535,-141.57583742207902,-5.916728686707035,-13.492253300389056,30.848311461925583,-12.661436379078832,3.45,1.57,332,89.8,36,97.8,2508,6.5,718097,543228,670223,663611,621458,670156,621550,643565,666624,54.01,0.026,0.039,0.0,1,0,0,3,72,2,4-Seam Fastball,12,3,12,3,3,12,12,3,Standard,Standard,214,0.0,-0.271,,,0.074,0.271,89.8,9,9,1.0,1.0,30,26,30,27,1,4,1,1,,1,1.04,0.89,0.89,33.2
