pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-05-26,89.9,0.93,5.99,"Pérez, Martín",660670,527048,double,hit_into_play,,,,,5,Ronald Acuña Jr.  doubles (8) on a sharp fly ball to center fielder Michael A.   Taylor.,R,R,L,PIT,ATL,X,8,fly_ball,1,0,2024,0.93,1.01,-0.05,2.68,,,,0,1,Top,170.84,49.7,,,,,-4.362372137163851,-130.9948970968632,-4.41723447292325,11.59780707301941,24.992998566010098,-19.83242575944059,3.56,1.64,385,105.9,24,89.6,2103,5.8,745498,663698,656582,693304,669707,675961,668804,572191,658668,54.66,0.909,1.718,1.25,1,1,1,6,1,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,137,-0.06,0.655,83.1,7.6,3.271,-0.655,105.9,0,0,0.5,0.5,33,26,33,27,1,0,5,1,33,,1.78,0.93,-0.93,49.4
SI,2024-05-26,90.4,0.85,6.04,"Pérez, Martín",660670,527048,,ball,,,,,11,Ronald Acuña Jr.  doubles (8) on a sharp fly ball to center fielder Michael A.   Taylor.,R,R,L,PIT,ATL,B,,,0,0,2024,1.3,1.0,-1.18,3.49,,,,0,1,Top,,,,,,,-7.7291425985025395,-131.40179938785903,-2.5005995308218107,16.676475669764333,28.945032187656565,-20.226925866253893,3.72,1.74,,,,89.3,2126,5.8,745498,663698,656582,693304,669707,675961,668804,572191,658668,54.71,,,,,,,,1,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,140,0.0,0.038,,,,-0.038,,0,0,0.5,0.5,33,26,33,27,1,0,5,1,33,,1.8,1.3,-1.3,50.0
FS,2024-05-25,93.9,-1.97,5.79,"Bednar, David",660670,670280,force_out,hit_into_play,,,,,5,"Ronald Acuña Jr.  grounds into a force out, shortstop Oneil Cruz to second baseman Nick Gonzales.   Adam Duvall out at 2nd.",R,R,R,PIT,ATL,X,6,ground_ball,1,2,2024,-1.14,0.39,-0.12,2.4,518595,,594807,2,9,Top,111.62,150.64,,,,,7.37651719551671,-136.56896225480804,-3.974620818374592,-15.80563387808028,27.487663321635488,-26.572373394017287,3.54,1.63,40,86.0,-1,94.9,1744,6.7,745493,518735,656582,693304,669707,665833,668804,572191,678225,53.79,0.263,0.272,0.0,1,0,0,2,72,4,Split-Finger,4,1,1,4,1,4,1,4,Standard,Strategic,215,0.031,-0.194,80.7,7.5,0.305,0.194,88.0,3,-3,0.969,0.031,29,26,30,27,1,4,2,1,4,1,2.17,1.14,1.14,41.4
FF,2024-05-25,98.6,-1.89,5.96,"Bednar, David",660670,670280,,foul,,,,,2,"Ronald Acuña Jr.  grounds into a force out, shortstop Oneil Cruz to second baseman Nick Gonzales.   Adam Duvall out at 2nd.",R,R,R,PIT,ATL,S,,,1,1,2024,-0.68,1.58,0.2,3.64,518595,,594807,2,9,Top,,,,,,,7.324387183880213,-143.38052887752386,-4.539701286695678,-11.106424300525186,33.46127498422796,-9.491860771337864,3.54,1.63,90,86.9,85,99.2,2603,6.7,745493,518735,656582,693304,669707,665833,668804,572191,678225,53.84,,,,,,,,72,3,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Strategic,212,0.0,-0.078,80.8,7.5,,0.078,88.0,3,-3,0.969,0.031,29,26,30,27,1,4,2,1,4,1,0.77,0.68,0.68,42.0
FF,2024-05-25,98.2,-1.77,5.88,"Bednar, David",660670,670280,,foul,,,,,6,"Ronald Acuña Jr.  grounds into a force out, shortstop Oneil Cruz to second baseman Nick Gonzales.   Adam Duvall out at 2nd.",R,R,R,PIT,ATL,S,,,1,0,2024,-0.81,1.51,0.56,2.39,518595,,594807,2,9,Top,,,,,,,8.220763173560679,-142.5250350866385,-7.413615411719274,-13.039890724094752,37.25687512527127,-10.078349811368266,3.54,1.63,,,,98.2,2651,6.7,745493,518735,656582,693304,669707,665833,668804,572191,678225,53.76,,,,,,,,72,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Strategic,210,0.0,-0.045,81.7,8.0,,0.045,,3,-3,0.969,0.031,29,26,30,27,1,4,2,1,4,1,0.9,0.81,0.81,48.1
FS,2024-05-25,93.3,-1.94,5.76,"Bednar, David",660670,670280,,ball,,,,,14,"Ronald Acuña Jr.  grounds into a force out, shortstop Oneil Cruz to second baseman Nick Gonzales.   Adam Duvall out at 2nd.",R,R,R,PIT,ATL,B,,,0,0,2024,-0.97,0.38,1.22,1.27,518595,,594807,2,9,Top,,,,,,,10.351532170236586,-135.43490113368725,-6.686488511268969,-14.173232836527236,28.04145235228604,-26.174076200151926,3.55,1.63,,,,94.2,1806,6.8,745493,518735,656582,693304,669707,665833,668804,572191,678225,53.67,,,,,,,,72,1,Split-Finger,4,1,1,4,1,4,1,4,Standard,Strategic,218,0.0,0.03,,,,-0.03,,3,-3,0.969,0.031,29,26,30,27,1,4,2,1,4,1,2.24,0.97,0.97,43.8
SI,2024-05-25,99.0,-1.89,5.65,"Holderman, Colin",660670,670059,strikeout,called_strike,,,,,12,Ronald Acuña Jr.  called out on strikes.,R,R,R,PIT,ATL,S,2,,3,2,2024,-1.36,0.32,1.01,2.7,,,670097,2,7,Top,,,,,,,11.160893302268738,-143.7400053005907,-3.345370140046984,-21.477916301031605,34.59474951184532,-27.147363430738785,3.53,1.46,,,,99.4,2298,6.7,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.77,,0.0,0.0,1,0,0,,53,6,Sinker,3,1,1,3,1,3,1,3,Standard,Strategic,223,0.033,-0.319,,,,0.319,,2,-2,0.86,0.14,28,26,29,27,1,3,3,1,4,1,2.02,1.36,1.36,29.8
FC,2024-05-25,93.5,-1.7,5.73,"Holderman, Colin",660670,670059,,ball,,,,,12,Ronald Acuña Jr.  called out on strikes.,R,R,R,PIT,ATL,B,,,2,2,2024,0.48,0.59,1.74,2.64,,,670097,2,7,Top,,,,,,,7.888416977547396,-135.99121909707176,-3.60021734392488,4.448079107907263,27.17603401310489,-24.199473168041127,3.53,1.66,,,,94.7,2586,6.8,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.68,,,,,,,,53,5,Cutter,3,1,1,3,1,3,1,3,Standard,Strategic,175,0.0,0.085,,,,-0.085,,2,-2,0.86,0.14,28,26,29,27,1,3,3,1,4,1,2.0,-0.48,-0.48,34.1
ST,2024-05-25,85.8,-1.98,5.47,"Holderman, Colin",660670,670059,,ball,,,,,14,Ronald Acuña Jr.  called out on strikes.,R,R,R,PIT,ATL,B,,,1,2,2024,1.02,0.18,1.4,1.05,,,670097,2,7,Top,,,,,,,6.001012328988569,-124.80614429396962,-4.54313622807302,9.257041245698558,26.963525813030195,-29.586217260342963,3.55,1.61,,,,86.4,2583,6.9,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.65,,,,,,,,53,4,Sweeper,3,1,1,3,1,3,1,3,Standard,Strategic,82,0.0,0.038,,,,-0.038,,2,-2,0.86,0.14,28,26,29,27,1,3,3,1,4,1,2.94,-1.02,-1.02,27.3
SI,2024-05-25,97.4,-1.81,5.62,"Holderman, Colin",660670,670059,,called_strike,,,,,12,Ronald Acuña Jr.  called out on strikes.,R,R,R,PIT,ATL,S,,,1,1,2024,-1.35,0.29,0.85,2.75,,,670097,2,7,Top,,,,,,,10.309481436958404,-141.44490023078808,-2.8272485479117444,-20.50146204201959,33.37208708485333,-27.842357696844356,3.51,1.59,,,,97.9,2319,6.7,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.75,,,,,,,,53,3,Sinker,3,1,1,3,1,3,1,3,Standard,Strategic,222,0.0,-0.06,,,,0.06,,2,-2,0.86,0.14,28,26,29,27,1,3,3,1,4,1,2.13,1.35,1.35,31.7
