pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-16,,,,"Jackson, Gabriel",687637,682791,single,hit_into_play,,,,,,Dylan Beavers singles on a soft ground ball to pitcher Gabriel Jackson.   Jud Fabian scores.    Errol Robinson to 3rd.,S,L,R,BAL,BOS,X,1,ground_ball,1,0,2024,,,,,682983,642021,,2,9,Bot,118.13,186.95,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.9,,1,0,,75,2,,4,4,4,4,4,5,5,4,,,,0.37,0.706,,,,-0.706,,0,0,0.63,0.63,22,22,23,23,1,0,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",687637,682791,,ball,,,,,,Dylan Beavers singles on a soft ground ball to pitcher Gabriel Jackson.   Jud Fabian scores.    Errol Robinson to 3rd.,S,L,R,BAL,BOS,B,,,0,0,2024,,,,,682983,,642021,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,75,1,,4,4,4,4,4,4,4,4,,,,-0.005,0.03,,,,-0.03,,0,0,0.635,0.635,22,22,23,23,1,0,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",642021,682791,walk,ball,,,,,,Errol Robinson walks.,S,R,R,BAL,BOS,B,,,3,0,2024,,,,,682983,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.7,,0,0,,74,4,,4,4,4,4,4,4,4,4,,,,0.007,0.052,,,,-0.052,,0,0,0.628,0.628,22,29,23,30,1,1,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",642021,682791,,ball,,,,,,Errol Robinson walks.,S,R,R,BAL,BOS,B,,,2,0,2024,,,,,682983,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,74,3,,4,4,4,4,4,4,4,4,,,,0.0,0.031,,,,-0.031,,0,0,0.628,0.628,22,29,23,30,1,1,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",642021,682791,,ball,,,,,,Errol Robinson walks.,S,R,R,BAL,BOS,B,,,1,0,2024,,,,,682983,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,74,2,,4,4,4,4,4,4,4,4,,,,0.0,0.055,,,,-0.055,,0,0,0.628,0.628,22,29,23,30,1,1,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",642021,682791,,ball,,,,,,Errol Robinson walks.,S,R,R,BAL,BOS,B,,,0,0,2024,,,,,,682983,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,74,1,,4,4,4,4,4,4,4,4,,,,0.02,0.014,,,,-0.014,,0,0,0.608,0.608,22,29,23,30,1,1,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",681393,682791,field_out,hit_into_play,,,,,,Connor Norby flies out to right fielder Mark Contreras.,S,R,R,BAL,BOS,X,9,fly_ball,0,0,2024,,,,,,682983,,1,9,Bot,171.32,100.51,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.0,,0,0,,73,1,,4,4,4,4,4,4,4,4,,,,-0.091,-0.263,,,,0.263,,0,0,0.699,0.699,22,24,23,24,1,1,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",682983,682791,single,hit_into_play,,,,,,"Jud Fabian singles on a ground ball to left fielder Corey Rosier.   Frederick Bencosme scores.  Coby Mayo out at 3rd on the throw, left fielder Corey Rosier to third baseman Joe Dunand to shortstop Nick Sogard.   Jud Fabian to 2nd.",S,R,R,BAL,BOS,X,7,ground_ball,0,0,2024,,,,,,695930,691723,0,9,Bot,87.9,117.44,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.9,,1,0,,72,1,,3,4,3,4,4,4,4,4,,,,0.199,0.468,,,,-0.468,,-1,-1,0.5,0.5,22,23,23,24,1,0,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",691723,682791,single,hit_into_play,,,,,,Coby Mayo singles on a soft fly ball to second baseman Jamie Westbrook.   Frederick Bencosme to 2nd.,S,R,R,BAL,BOS,X,4,fly_ball,0,0,2024,,,,,,,695930,0,9,Bot,165.88,139.81,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.9,,1,0,,71,1,,3,4,3,4,4,3,3,4,,,,0.172,0.449,,,,-0.449,,-1,-1,0.328,0.328,22,22,23,23,1,3,,,,,,,,
,2024-03-16,,,,"Jackson, Gabriel",663527,682791,walk,ball,,,,,,Tyler Nevin walks.,S,R,R,BAL,BOS,B,,,3,0,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.7,,0,0,,70,4,,3,4,3,4,4,3,3,4,,,,0.134,0.197,,,,-0.197,,-1,-1,0.194,0.194,22,27,23,27,1,3,,,,,,,,
