pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-09-29,83.6,4.38,4.66,"Eisert, Brandon",681146,685126,field_out,hit_into_play,,,,,12,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,X,3,ground_ball,3,2,2024,1.15,0.15,1.15,3.06,,,,0,8,Top,151.0,165.0,,,,,-9.803766945260788,-121.2735464123209,2.538982118351499,13.220773716276026,23.376582471588684,-31.465314457097634,3.25,1.48,40,94.1,-2,84.6,1251,7.1,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.45,0.323,0.289,0.0,1,0,0,2,58,8,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,121,0.011,-0.333,,,0.354,0.333,94.1,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,3.13,1.15,-1.15,27.5
SL,2024-09-29,84.8,3.95,5.01,"Eisert, Brandon",681146,685126,,ball,,,,,12,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,B,,,2,2,2024,-0.62,0.33,0.17,4.04,,,,0,8,Top,,,,,,,-7.736394245436716,-123.05830239614852,3.6244640754799775,-4.432691244906768,28.229412478120853,-29.930993694488663,3.23,1.5,,,,85.6,2196,7.3,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.16,,,,,,,,58,7,Slider,1,3,3,1,3,1,3,1,Standard,Standard,239,0.0,0.107,,,,-0.107,,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,2.89,-0.62,0.62,33.5
SL,2024-09-29,85.0,3.99,5.0,"Eisert, Brandon",681146,685126,,foul,,,,,3,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,S,,,2,2,2024,-0.35,0.62,0.77,2.97,,,,0,8,Top,,,,,,,-6.949062610375858,-123.44413289528094,0.5306973784973645,-1.793435770930532,30.517502026118223,-26.378001630691045,3.25,1.48,,,,85.3,2039,7.2,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.34,,,,,,,,58,6,Slider,1,3,3,1,3,1,3,1,Standard,Standard,213,0.0,0.0,64.5,6.3,,0.0,,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,2.61,-0.35,0.35,33.5
FF,2024-09-29,92.4,3.95,5.06,"Eisert, Brandon",681146,685126,,foul,,,,,12,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,S,,,2,2,2024,1.15,1.67,0.98,3.34,,,,0,8,Top,,,,,,,-10.22781232071696,-134.10208651266743,-2.1856914459417283,16.12417497938557,30.049945260900785,-11.807846304466402,3.25,1.48,204,74.4,23,93.5,2111,7.2,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.34,,,,,,,,58,5,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,132,0.0,0.0,66.6,6.4,,0.0,88.0,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,1.02,1.15,-1.15,34.9
FF,2024-09-29,90.7,3.94,4.97,"Eisert, Brandon",681146,685126,,swinging_strike,,,,,12,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,S,,,2,1,2024,0.81,1.53,0.19,3.98,,,,0,8,Top,,,,,,,-11.316130763649207,-131.5503057670002,0.2430613311589099,11.853469512872126,28.540478083048477,-14.686709668712574,3.25,1.48,,,,92.2,2051,7.4,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.08,,,,,,,,58,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,133,0.0,-0.069,65.8,6.1,,0.069,,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,1.26,0.81,-0.81,36.0
CH,2024-09-29,82.7,4.34,4.68,"Eisert, Brandon",681146,685126,,called_strike,,,,,11,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,S,,,2,0,2024,1.03,0.17,-0.23,3.35,,,,0,8,Top,,,,,,,-12.55545422565186,-119.80474028035438,3.1813631283888144,12.133496189778269,20.85599939802392,-31.357059089422204,3.2,1.5,,,,84.0,1256,7.2,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.35,,,,,,,,58,3,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,120,0.0,-0.065,,,,0.065,,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,3.16,1.03,-1.03,26.7
CH,2024-09-29,85.3,4.12,4.74,"Eisert, Brandon",681146,685126,,ball,,,,,12,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,B,,,1,0,2024,1.29,0.36,1.08,2.7,,,,0,8,Top,,,,,,,-9.910199744198552,-123.83407757109312,0.8115216934403625,15.247869837231956,23.981476857221647,-28.81781052320801,3.28,1.58,,,,86.8,1339,7.3,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.23,,,,,,,,58,2,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,120,0.0,0.069,,,,-0.069,,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,2.78,1.29,-1.29,27.9
SL,2024-09-29,85.1,3.97,4.99,"Eisert, Brandon",681146,685126,,ball,,,,,12,"Jonah Bride grounds out, first baseman Spencer Horwitz to pitcher Brandon Eisert.",R,R,L,TOR,MIA,B,,,0,0,2024,-0.07,0.58,0.51,4.19,,,,0,8,Top,,,,,,,-8.145703612171227,-123.75349841276258,3.346007523808711,0.8169178637461258,23.605661910988893,-27.0874049626072,3.23,1.47,,,,86.9,2046,7.4,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.13,,,,,,,,58,1,Slider,1,3,3,1,3,1,3,1,Standard,Standard,171,0.0,0.038,,,,-0.038,,-2,2,0.13,0.87,26,28,26,29,1,3,62,1,,,2.56,-0.07,0.07,33.5
SL,2024-07-29,86.0,3.92,5.13,"Eisert, Brandon",683002,685126,single,hit_into_play,,,,,6,Gunnar Henderson singles on a ground ball to right fielder George Springer. Colton Cowser to 2nd.,R,L,L,BAL,TOR,X,9,ground_ball,1,2,2024,0.1,0.52,0.76,2.89,,,681297,1,4,Bot,170.77,107.98,,,,,-7.8166317240329874,-125.07531663335796,-0.11011119684936,2.5501846976063844,24.656744174461735,-26.887969123048247,3.65,1.7,18,101.6,-9,87.4,2186,7.1,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.35,0.269,0.291,0.9,1,1,0,2,39,4,Slider,5,0,5,0,0,5,5,0,Infield shade,Standard,188,0.006,0.475,70.6,6.5,0.28,-0.475,101.6,5,5,0.952,0.952,26,23,26,23,2,2,42,1,62,1,2.56,0.1,0.1,37.9
SL,2024-07-29,85.3,4.01,4.99,"Eisert, Brandon",683002,685126,,ball,,,,,13,Gunnar Henderson singles on a ground ball to right fielder George Springer. Colton Cowser to 2nd.,R,L,L,BAL,TOR,B,,,0,2,2024,-0.25,0.35,-1.93,2.11,,,681297,1,4,Bot,,,,,,,-13.561417859796174,-123.50898679966764,-1.0832984605263003,0.1749227363591733,25.265021123521567,-28.551482214072863,3.74,1.78,,,,85.9,2254,7.0,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.46,,,,,,,,39,3,Slider,5,0,5,0,0,5,5,0,Infield shade,Standard,187,0.0,0.022,,,,-0.022,,5,5,0.952,0.952,26,23,26,23,2,2,42,1,62,1,2.82,-0.25,-0.25,34.0
FF,2024-07-29,91.8,3.77,5.21,"Eisert, Brandon",683002,685126,,foul,,,,,3,Gunnar Henderson singles on a ground ball to right fielder George Springer. Colton Cowser to 2nd.,R,L,L,BAL,TOR,S,,,0,1,2024,0.64,1.21,0.37,3.68,,,681297,1,4,Bot,,,,,,,-10.163285971136323,-133.41027537173224,-0.6687813895367579,9.727327181627889,26.73104602420215,-17.66755905722689,3.65,1.7,,,,93.6,2148,7.3,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.24,,,,,,,,39,2,4-Seam Fastball,5,0,5,0,0,5,5,0,Infield shade,Standard,142,0.0,-0.052,73.3,6.0,,0.052,,5,5,0.952,0.952,26,23,26,23,2,2,42,1,62,1,1.48,0.64,0.64,39.2
SL,2024-07-29,84.9,4.0,5.01,"Eisert, Brandon",683002,685126,,foul,,,,,5,Gunnar Henderson singles on a ground ball to right fielder George Springer. Colton Cowser to 2nd.,R,L,L,BAL,TOR,S,,,0,0,2024,-0.23,0.59,-0.11,2.94,,,681297,1,4,Bot,,,,,,,-9.27180931318872,-123.34270815287972,0.2834281441837427,-0.6087046591924169,23.084564753478503,-26.361136469858412,3.65,1.7,200,69.4,39,86.1,2174,7.0,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.46,,,,,,,,39,1,Slider,5,0,5,0,0,5,5,0,Infield shade,Standard,216,0.0,-0.04,75.6,6.5,,0.04,88.0,5,5,0.952,0.952,26,23,26,23,2,2,42,1,62,1,2.56,-0.23,-0.23,35.3
FF,2024-07-29,90.4,3.79,5.06,"Eisert, Brandon",623993,685126,field_out,hit_into_play,,,,,8,Anthony Santander flies out to center fielder Daulton Varsho.,R,R,L,BAL,TOR,X,8,fly_ball,1,2,2024,1.03,1.38,-0.15,2.11,,,681297,0,4,Bot,125.71,58.98,,,,,-12.22101322999652,-131.05253254842182,-4.391027391051018,14.426785800550402,26.92884790166342,-15.434620424972316,3.32,1.58,346,98.2,36,91.9,2121,7.3,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.19,0.223,0.453,0.0,1,0,0,5,38,7,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,145,-0.006,-0.189,78.2,7.4,0.856,0.189,98.2,5,5,0.958,0.958,26,29,26,30,2,2,42,1,62,0,1.42,1.03,-1.03,33.9
SL,2024-07-29,85.3,3.83,5.14,"Eisert, Brandon",623993,685126,,foul,,,,,14,Anthony Santander flies out to center fielder Daulton Varsho.,R,R,L,BAL,TOR,S,,,1,2,2024,-0.12,0.43,0.84,2.33,,,681297,0,4,Bot,,,,,,,-6.881473292311294,-124.09561485991424,-1.168867814996526,0.1329008313633526,25.4121692799675,-27.667574816328987,3.32,1.58,172,78.1,64,86.4,2127,7.0,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.46,,,,,,,,38,6,Slider,5,0,5,0,0,5,5,0,Standard,Standard,207,0.0,0.0,73.2,7.4,,0.0,88.0,5,5,0.958,0.958,26,29,26,30,2,2,42,1,62,0,2.71,-0.12,0.12,38.0
FF,2024-07-29,91.9,3.77,5.14,"Eisert, Brandon",623993,685126,,foul,,,,,3,Anthony Santander flies out to center fielder Daulton Varsho.,R,R,L,BAL,TOR,S,,,1,2,2024,0.74,1.51,0.51,3.16,,,681297,0,4,Bot,,,,,,,-10.037538521751484,-133.5575782723335,-2.4646428517964423,11.01685033712412,28.4800723171074,-13.795675115234152,3.32,1.58,236,71.7,44,93.5,2158,7.3,747007,672386,687462,676914,676391,677870,680718,662139,543807,53.21,,,,,,,,38,5,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,145,0.0,0.0,64.4,6.5,,0.0,88.0,5,5,0.958,0.958,26,29,26,30,2,2,42,1,62,0,1.2,0.74,-0.74,39.1
